identifier,name,short_description,location,created_year
,Vestas,Vestas is the only global energy company dedicated exclusively to wind energy. Wind is our business and our passion.,Aarhus,2009
,UgoWork,UgoWork is a manufacturing company that specializes in the production of lithium-ion batteries and energy systems for industrial purposes.,Quebec,2022
,Billtrust,Billtrust develops a payment cycle management platform designed to automate every step in the invoice-to-cash process.,Lawrenceville,2010
,SmartRecruiters,SmartRecruiters is an end-to-end recruiting platform that helps companies with talent acquisition.,San Francisco,2011
,Couchbase,Couchbase is a NoSQL cloud database for business-critical applications.,Santa Clara,2010
,Observe.AI,Observe.AI is a conversational intelligence platform for contact centers.,Redwood City,2017
,Rivalz Network,Rivalz Network is an AI-Driven DePIN RollApp.,Dover,2024
,Foodsmart,Foodsmart provides a digital nutrition platform that uses personalized dietary recommendations to improve health outcomes.,San Francisco,2012
,Tanium,We protect the world's most security-conscious organizations by providing the first and only Converged Endpoint Management (XEM) platform.,Kirkland,2010
,Globe Life,Globe Life is an insurance company.,Oklahoma City,2020
,American Airlines,"American Airlines is an airline company that operates a diverse fleet of aircraft, including narrow-body and wide-body jets.",Fort Worth,2011
,Talkdesk,Talkdesk offers an enterprise contact center platform that allows companies to make the customer experience a competitive advantage.,San Francisco,2012
,Roblox,Roblox is an online gaming and entertainment platform that offers a shared digital experience that brings people together through play.,San Mateo,2009
,BlockTower Capital,"BlockTower is a crypto and blockchain investment firm that uses trading, investing, and portfolio management to this digital asset class.",Miami,2017
,Restaurant Brands International,Restaurant Brands International Inc. is one of the world's largest quick service restaurant companies,Oakville,2015
,Flock Safety,Flock Safety develops security solutions using automated license plate recognition (ALPR) cameras.,Atlanta,2017
,Repligen,Repligen is a biopharmaceutical company developing consumable products for the manufacture of biological drugs.,Waltham,2010
,MetLife,"MetLife is a provider of insurance, employee benefits, and financial services .",New York,2010
,aiXplain,"aiXplain is a no-code low-code AI IDE and a marketplace for small and medium enterprises offering Large Language Models, GPT, Multimodal AI",Los Gatos,2021
,Splight,Splight is a technology business that creates artificial energy for digital solutions in existing power infrastructure.,Washington,2022
,Surf Air,Surf Air is a membership airline that offers first-class travel on executive aircraft.,Hawthorne,2011
,Allstate,"Allstate is an insurance company that offers car, home, and life insurance services.",Northbrook,2010
,MediWound,"MediWound is a biotechnology specialty company focused on developing, manufacturing and commercializing innovative wound care products.",Yavne,2013
,AiFi,AiFi is an AI retail platform using computer vision for autonomous shopping solutions.,Santa Clara,2017
,Userled,Userled is an AI-powered startup that automates the distribution of personalizing marketing experiences across all ad and email platforms.,Sevenoaks,2023
,AEye,"AEye develops adaptive, high performance lidar systems for automotive, trucking, smart infrastructure and logistics applications.",Dublin,2017
,First Solar,First Solar manufactures thin film photovoltaic modules and provides PV power plants and supporting services.,Tempe,2008
,Synapse,Synapse is a banking platform that enables companies to provide financial products to their customers.,San Francisco,2015
,Norm AI,Norm AI provides an AI-powered regulatory compliance platform for the legal and compliance industries.,New York,2024
,Heeler,Heeler helps security teams scale with developers to eliminate critical risks and reduce future risks for cloud-based applications.,Bethesda,2023
,TE Connectivity,"TE Connectivity is a company provides engineered electronic components, network solutions, specialty products, undersea telecommunication.",Schaffhausen,2010
,GrowSari,"Growsari is a tech-enabled B2B platform that connects SME retailers with FMCG suppliers, transforming stores into service hubs.",Pasig,2018
,CleanSpark,CleanSpark (Nasdaq: CLSK) is America's Bitcoin Miner™.,Henderson,2016
,Yellow.ai,"Yellow.ai is a conversational AI platform, enabling enterprises to unlock business potential at scale.",San Mateo,2014
,Epic Games,Epic Games is an interactive entertainment company that develops games and offers its game engine technology to other developers.,Cary,2015
,Horizon3.ai,Horizon3.ai develops NodeZero which provides an autonomous penetration testing solution that helps customers find and fix attack vectors.,San Francisco,2020
,Kyndryl,Kyndryl is an information technology and services company.,New City,2021
,Jamf,Jamf creates IT software that manages Apple devices and helps organizations succeed.,Minneapolis,2013
,Onfido,Onfido is a provider of automated digital identity verification.,London,2014
,"Kestra Medical Technologies, Inc.","Kestra Medical Technologies offers wearable medical devices which collects, store, and communicate patients vital performance data.",Kirkland,2021
,Asceneuron,Asceneuron develops effective therapeutics for orphan tauopathies and Alzheimer’s disease.,Lausanne,2013
,Clover Health,Clover is a healthcare technology company helping members live their healthiest lives with its Medicare Advantage plans.,Nashville,2015
,SumUp,SumUp is a financial technology company that enables businesses to accept card payments at the point of sale or on the go.,London,2012
,FreshBus,FreshBus is an electric bus startup that plans to launch premium intercity electric bus services throughout India.,Hyderabad,2023
,Anker,Anker designs and sells a range of consumer electronic products.,Santa Clara,2015
,Magenta Medical,Magenta Medical is engaged in the development of novel device solutions for the treatment of acute and chronic heart failure.,Kadima,2012
,Pearl,Pearl is an AI-driven company that enhances patient care in dentistry with FDA-cleared AI capable of identifying diseases in dental x-rays.,West Hollywood,2019
,Apromore,"Apromore is a SaaS solution for process mining, simulation and AI-driven business process optimization",Melbourne,2020
,Akums Drugs& Pharmaceuticals,Akums Drugs & Pharmaceuticals Limited is the largest CDMO organization of India.,New Delhi,2022
,ShipBob,ShipBob is a global logistics company that offers an e-commerce fulfillment order platform for direct-to-​consumer brands.,Chicago,2014
,Founders Factory,Founders Factory builds and funds startups together with exceptional entrepreneurs and the world's leading companies.,London,2012
,Main Street Capital,Main Street Capital is a principal investment firm that provides long-term debt and private equity capital to lower middle market companies.,Houston,2011
,SoundCloud,SoundCloud is a social sound platform where anyone can create and share sounds.,Berlin,2008
,Blume Ventures,Blume Ventures provides pre-series A and early stage funding to tech-focused/tech-enabled ventures.,Mumbai,2012
,Cicada Innovations,"Cicada Innovations is the home of deep tech in Australia, supporting ambitious ventures solving the world's most pressing problems.",Sydney,2011
,GoodRx,GoodRx collects drug prices from pharmacies across the U.S. and helps users find the cheapest option for the medication they’re seeking.,Santa Monica,2012
,Skydo,Skydo is an online payment platform for receiving payments from overseas businesses.,Bengaluru,2022
,Sense,Sense specializes in tracking devices and home automation solutions for its customers.,Cambridge,2014
,African Development Bank,African Development Bank provides concessional funding for economic and social development projects and programs.,Belvédère,2013
,Vodeno,"Vodeno offers financial, banking, credit risk management, foreign exchange, and cloud engineering services.",Warsaw,2021
,Indigo,"IndiGo is India’s largest passenger airline with a market share of 48.9% as of March, 2020.",Haryana,2016
,BillionToOne,BillionToOne is a precision diagnostics company that focuses on genetic testing for disease detection.,Menlo Park,2017
,Purplle,Purplle is an online retailer that offers beauty and personal care products.,Mumbai,2013
,Booking Holdings,Booking Holdings provides online travel and travel-related reservation and services.,Norwalk,2014
,Neuronetics,Neuronetics is a medical device company that develops non-invasive therapies for psychiatric and neurological disorders.,Malvern,2009
,Matera,Matera offers Instant Payment and QR Code technology to enhance payment solutions for financial institutions.,San Francisco,2018
,Heineken,Heineken is a global brewer that markets premium beers and cider brands.,Amsterdam,2013
,Revance Therapeutics,Revance is a biotechnology company focusing on aesthetic and therapeutic offerings that enhance patient outcomes and physician experiences.,Newark,2009
,Zebra Technologies,"Zebra Technologies is a provider of solutions such as barcode printers, scanners, RFID technology, handheld computers, and more.",Lincolnshire,2009
,Farcaster,"Farcaster is a social network that helps coders, fitness enthusiasts, and meme makers find people based on their interests.",Los Angeles,2023
,Papa,Papa is a platform that connects college students to senior citizens for companionship and assistance.,Miami,2017
,Waymo,Waymo improves transportation by developing self-driving technology developed in Google’s labs.,Mountain View,2015
,Cyberhaven,Cyberhaven is a software company that provides technology to trace and protect the flow of data.,San Jose,2016
,Nozomi Networks,Nozomi Networks is a cybersecurity company specializing in operational technology and IoT security for critical infrastructure.,San Francisco,2016
,Westland Insurance,"Westland Insurance is an insurance brokerage company providing auto, home, travel, liability, and hospitality insurance services.",Surrey,2020
,GameStop,GameStop is a video games and entertainment software retailer operating thousands of retail stores.,Grapevine,2009
,InVideo,InVideo is re-inventing video creation using AI and making it accessible to the world.,Singapore,2018
,Dren Bio,"Dren Bio focuses on protein engineering technologies for depletion of cells, protein aggregates, and other disease-causing agents.",Foster City,2020
,TravelPerk,TravelPerk is a SaaS providing business travel and expense management services for travelers.,Barcelona,2015
,Sutter Hill Ventures,Sutter Hill Ventures primarily invests in technology-based start-ups.,Palo Alto,2007
,CenterPoint Energy,"CenterPoint Energy is an energy delivery company with electric transmission and distribution, power generation and natural gas distribution.",Houston,2013
,Lyten,"Lyten is a supermaterial applications company that develops, sources, and manufactures low-carbon footprint products.",San Jose,2020
,Veza,Veza is a data security platform that helps users use and share their data safely.,Palo Alto,2020
,BlueChilli,"BlueChilli helps founders build products, gain pilots, secure investment, and establish their first team.",Sydney,2017
,R1 RCM,R1 RCM serves as a revenue cycle management partner for hospitals and healthcare systems regardless of the payment models.,Chicago,2010
,Otter.ai,"Otter.ai improves business team productivity by providing an app to capture, share and recall all of your meeting notes.",Mountain View,2016
,CloudTrucks,CloudTrucks offers a virtual trucking carrier application designed to reduce operating costs for truck drivers.,San Francisco,2020
,JetBlue Airways,"JetBlue is a customer service channel for Major United States Airline based in Queens, New York.",Long Island City,2013
,Pixis,Pixis provides a codeless AI infrastructure platform for brands to monitor and orchestrate their marketing campaigns.,Chicago,2020
,Capacity,Capacity is an AI-powered helpdesk that automates support for customers and employees.,Saint Louis,2017
,GeoWealth,GeoWealth is a technology platform offering asset management solutions for advisors.,Chicago,2016
,itselectric,itselectric is electric vehicle charging purpose-built for drivers who park their cars on city streets.,Brooklyn,2021
,CashStar,CashStar is a provider of prepaid commerce solutions for the world's top retailers and restaurants.,Portland,2009
,China Mobile,China Mobile is an investment holdings company that provides mobile telecommunications and related services in Mainland China and Hong Kong.,Hong Kong,2013
,Tyson Foods,"Tyson Foods is a modern, multi-national, protein-focused food company.",Springdale,2013
,FullStory,FullStory develops a digital experience intelligence platform designed to capture customer experience data.,Atlanta,2014
,WalkMe,"WalkMe provides a digital adoption platform to let organizations measure, drive, and act to maximize their digital transformation.",San Francisco,2012
,Supermicro,"Supermicro is a global leader in high-performance, high-efficiency server technology and innovation.",San Jose,2014
,General Catalyst,General Catalyst is a venture capital firm that provides early-stage and growth equity investments.,Cambridge,2008
,NCSOFT,"NCSOFT is an online, video, and mobile game development company that develops massively multiplayer games.",Seoul,2010
,FEMSA,FEMSA is a company that creates economic and social value operates convenience and foodvenience formats.,Monterrey,2014
,Blackberry,BlackBerry provides wireless devices and solutions for the worldwide mobile communications market.,Waterloo,2008
,Baichuan Intelligence,Baichuan Intelligence develops general artificial intelligence services to build large model bases.,Haidian,2023
,LTK,LTK is a marketing company that offers retail sales and shopping apps.,Dallas,2014
,Heartbeat Health,Heartbeat Health is a digital health company that utilizes technology to improve cardiovascular disease prevention and management.,New York,2017
,InventWood,InventWood develops cellulose-based materials for environmental.,College Park,2020
,Trimble,"Trimble develops positioning technology solutions for surveying, construction, agriculture, public safety and mapping purposes.",Sunnyvale,2009
,Fabric Cryptography,Fabric is a verifiable processing unit startup that develops a custom cryptography hardware to accelerate cryptography algorithms.,San Francisco,2024
,Andrena,Andrena is a developer of an internet distribution platform designed to offer high-speed internet at reduced costs.,New York,2018
,scPharmaceuticals,ScPharmaceuticals is a biopharmaceutical company developing a portfolio of transformative pharmaceutical products for subcutaneous delivery.,Lexington,2014
,ClearScore,ClearScore is a financial technology company that provides credit scoring services and a marketplace.,London,2015
,IQVIA,"IQVIA provides analytics, compliance, and management solutions to the life sciences industry.",Danbury,2017
,Clip,Clip is the leading digital payments and commerce enablement platform in Mexico.,Mexico City,2013
,Avalara,Avalara is a cloud-based platform that provides tax compliance software and automated solutions.,Seattle,2014
,Lightspeed Commerce,Lightspeed Commerce develops a unified point of sale and payments platform for retail and hospitality businesses.,Montréal,2012
,Druva,"Druva delivers a SaaS-based platform to protect and manage enterprise data across endpoint, data center and cloud workloads.",Sunnyvale,2010
,Cencora,Cencora is a global healthcare company that advances the development and delivery of pharmaceuticals and healthcare products.,Conshohocken,2013
,Caldera,Caldera offers a no-code Web3 infrastructure platform to help developers spin up layer-2 blockchains.,San Francisco,2023
,Astra,Astra is a rocket launch startup that provides satellite delivery and launch services.,Alameda,2020
,HMD,HMD designs and manufactures mobile phones.,Helsinki,2016
,Magna International,"Magna International is a mobility tech company and auto supplier that engages in body exteriors, structures, power, vision, and seating.",Aurora,2013
,Bloom Energy,Bloom Energy offers on-site power generation systems that can use a wide variety of inputs to generate electricity.,Sunnyvale,2009
,BNP Paribas,"BNP Paribas is a financial service company that offers commercial, banking, and investment services.",Paris,2019
,Pine Labs,Pine Labs is a merchant commerce platform that provides financing and last-mile retail transaction technology to merchants.,Noida,2010
,DHL,DHL provides international express mail services.,Bonn,2009
,Rhombus Systems,Rhombus offers a cloud-based security camera system with analytics and smart search for businesses.,Sacramento,2017
,ALOHA,"Aloha is a USDA organic, clean, plant-based, sustainable food & beverage B-corporation",Darien,2020
,X-Bow Launch Systems,X-Bow Systems is a space technology company that produces solid rocket motors and hypersonic technologies for defense industries.,Albuquerque,2020
,ClearBank,ClearBank is a clearing and agency banking platform allowing banks and other customers real-time clearance on payment transactions.,Bristol,2017
,Neo Asset Management,"Neo Asset Management offers portfolio management, investment advisory services, and asset allocation strategies to their clients.",Mumbai,2022
,RealPage,RealPage is a provider of cloud-based software for managing multi-family real estate.,Richardson,2009
,Elevation Capital,"Elevation Capital is an early-stage venture capital firm that focuses on consumers, enterprises, logistics, and B2B.",Gurgaon,2021
,Generac Power Systems,Generac Power Systems is a manufacturer of automatic transfer switches and accessories for backup power applications.,Waukesha,2012
,Courier Health,Courier Health is a software company that develops patient engagement platform designed to deliver personalized experiences from end to end.,New York,2021
,Pax8,Pax8 is a cloud commerce marketplace company that specializes in cloud-based solutions.,Greenwood Village,2014
,Mintos,Mintos is an investment platform for the financial services sector.,Riga,2015
,Midi Health,"Midi Health is a virtual care clinic for women that treats depression, gynecological cancer, and period problems.",Menlo Park,2022
,Pienso,"Pienso is a B2B AI platform that utilizes text data for insight generation, document intelligence, and content moderation.",Arlington,2017
,9mobile,9mobile is a Nigerian telecommunications services provider.,Ikoyi,2018
,Melio,Melio is a fintech company that gives small businesses a way to digitally manage their business-to-business payments and receivables.,New York,2018
,Elemental Excelerator,Elemental is a non-profit investor focused on scaling climate solutions and social impact for all communities.,Honolulu,2013
,Virtuous Software,Virtuous Software provides nonprofit CRM and donor management tools to enhance fundraising efforts.,Phoenix,2020
,Northspyre,Northspyre provides a project delivery solution for real estate teams.,Brooklyn,2020
,Ring,Ring is an outdoor home security that provides homeowners a line of preventative security doorbells and cameras.,Santa Monica,2014
,Bitso,Bitso is a cryptocurrency exchange platform that allows users to buy and sell bitcoin and other cryptocurrencies.,Mexico City,2014
,Strangeworks,Strangeworks makes the power of quantum computing accessible to everyone all in one place. Learn more at http://quantumcomputing.com,Austin,2018
,Sonar,Sonar provides open-source and commercial code analyzers to help developers manage code quality.,Geneva,2016
,Contentful,Contentful offers a headless content management system that helps organizations deliver content across channels.,Berlin,2013
,Swiggy,Swiggy is a food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,Bengaluru,2015
,Paysafe,Paysafe is a global payments provider offering a range of payments solutions for businesses and consumers.,London,2016
,Kargo Technologies,"Kargo Technologies is a full-stack logistics platform, connecting shippers with truckers.",Jakarta,2018
,Siyata Mobile,Siyata Mobile is a global developer and provider of cellular communications systems for enterprise customers.,Montréal,2017
,Amperity,Amperity is an Intelligent Customer Data Platform that empowers global consumer brands by unlocking all their customer data.,Seattle,2016
,Q Bio,On a mission to build the first Clinical Digital Twin Platform and make it accessible to everyone,San Carlos,2017
,Reliance Retail,"Reliance Retail operates a chain of neighborhood stores, supermarkets, and specialty stores.",Mumbai,2013
,Ameriprise Financial,"Ameriprise Financial is a financial services company that provides financial planning, products, and services.",Minneapolis,2011
,Persona,Persona is an identity platform that helps businesses verify customer identities.,San Francisco,2019
,Data Ownership Protocol,Data Ownership Protocol helps users restore control over their own data in the Web3 economy.,,2024
,Martello Re,Martello Re is a reinsurer that offers reinsurance to life insurers and support in asset-intensive life insurance and annuity businesses.,Hamilton,2023
,ixigo,"ixigo is an online travel portal that allows Indian travelers to organize, book, and track their trips.",Gurgaon,2014
,ResMed,"A global leader in digital health and connected medical devices, plus software solutions that support out-of-hospital care providers.",San Diego,2011
,ThredUp,ThredUp is a fashion resale marketplace that enables individuals to buy and sell clothing for women and children.,Oakland,2009
,Glovo,"Glovo is a courier service that purchases, picks up, and delivers products ordered through its mobile application.",Barcelona,2015
,Zevra Therapeutics,"Zevra Therapeutics is a biopharmaceutical company focused on discovering and developing therapies for pain, ADHD, and other CNS diseases.",Orlando,2013
,Scopio Labs,Scopio Labs provides digital cell morphology imaging and AI solutions for hematology microscopy and diagnostics.,Tel Aviv,2016
,GrowUp Farms,"We’re turning food production on its head to make way better food, that doesn’t cost the earth.",Bristol,2015
,Alphabet,"Alphabet is a holding company that provides projects with resources, freedom, and focus to make their ideas happen.",Mountain View,2015
,Layer2 Financial,"Layer2 Financial enables fintech and banks to launch compliant stablecoin, cryptocurrency, and other digital asset products.",Toronto,2023
,BigCommerce,BigCommerce is a SaaS provider for merchants running online businesses.,Austin,2011
,Overjet,Overjet is an AI-powered dental technology company that provides algorithms to analyze dental images and deliver diagnoses.,Cambridge,2020
